NOM_METRO,LINIES_METRO,NOM_RENFE,LINIES_RENFE,NOM_FGC,LINIES_FGC,NOM_TRAM,LINIES_TRAM,
Hospital de Bellvitge,L1,,,,,,,
Bellvitge,L1,,,,,,,
Av. Carrilet,L1,L'Hospitalet - Av. Carrilet,L8S3S4S8S9R5R50R6R60,,,,,
Rambla Just Oliveras,L1,L'Hospitalet de Llobregat,R1R4,,,,,
Can Serra,L1,,,,,,,
Florida,L1,,,,,,,
Torrassa,L1L9SL10S,,,,,,,
Santa Eulàlia,L1,,,,,,,
Mercat Nou,L1,,,,,,,
Plaça de Sants,L1L5,,,,,,,
Hostafrancs,L1,,,,,,,
Espanya,L1L3,,,Pl. Espanya,L8S3S4S8S9R5R50R6R60,,,
Rocafort,L1,,,,,,,
Urgell,L1,,,,,,,
Universitat,L1L2,,,,,,,
Catalunya,L1L3,Plaça Catalunya,R1R3R4,Pl. Catalunya,L6L7S1S2,,,
Urquinaona,L1L4,,,,,,,
Arc de Triomf,L1,Arc de Triomf,R1R3R4,,,,,
Marina,L1,,,,,Marina,T4,
Glòries,L1,,,,,Glòries,T4T5T6,
Clot,L1L2,El Clot - Aragó,R1R2R2NR11,,,,,
Navas,L1,,,,,,,
La Sagrera,L1L5L9NL10N,La Sagrera - Meridiana,R3R4,,,,,
Fabra i Puig,L1,Sant Andreu Arenal,R3R4R7,,,,,
Sant Andreu,L1,Sant Andreu Comtal,R2R2NR11,,,,,
Torras i Bages,L1,,,,,,,
Trinitat Vella,L1,,,,,,,
Baró de Viver,L1,,,,,,,
Santa Coloma,L1,,,,,,,
Fondo,L1L9N,,,,,,,
Paral·lel,L2L3FM,,,,,,,
Sant Antoni,L2,,,,,,,
Passeig de Gràcia,L2L3L4,Passeig de Gràcia,R2R2NR2SR11R13R14R15R16,,,,,
Tetuan,L2,,,,,,,
Monumental,L2,,,,,,,
Sagrada Família,L2L5,,,,,,,
Encants,L2,,,,,,,
Bac de Roda,L2,,,,,,,
Sant Martí,L2,,,,,,,
La Pau,L2L4,,,,,,,
Verneda,L2,,,,,,,
Artigues | Sant Adrià,L2,,,,,,,
Sant Roc,L2,,,,,Sant Roc,T5,
Gorg,L2L10N,,,,,Gorg,T5,
Pep Ventura,L2,,,,,,,
Badalona Pompeu Fabra,L2,,,,,,,
Zona Universitària,L3L9S,,,,,Zona Universitària,T1T2T3,
Palau Reial,L3,,,,,Palau Reial,T1T2T3,
Maria Cristina,L3,,,,,Maria Cristina,T1T2T3,
Les Corts,L3,,,,,,,
Plaça del Centre,L3,,,,,,,
Sants Estació,L3L5,Sants,R1R2R2NR2SR3R4R11R13R14R15R16LD,,,,,
Tarragona,L3,,,,,,,
Poble Sec,L3,,,,,,,
Drassanes,L3,,,,,,,
Liceu,L3,,,,,,,
Diagonal,L3L5,,,Provença,L6L7S1S2,,,
Fontana,L3,,,,,,,
Lesseps,L3,,,,,,,
Vallcarca,L3,,,,,,,
Penitents,L3,,,,,,,
Vall d'Hebron,L3L5,,,,,,,
Montbau,L3,,,,,,,
Mundet,L3,,,,,,,
Valldaura,L3,,,,,,,
Canyelles,L3,,,,,,,
Roquetes,L3,,,,,,,
Trinitat Nova,L3L4L11,,,,,,,
Besòs,L4,,,,,Besòs,T5T6,
Besòs Mar,L4,,,,,,,
El Maresme | Fòrum,L4,,,,,El Maresme-Fòrum,T4,
Selva de Mar,L4,,,,,Selva de Mar,T4,
Poblenou,L4,,,,,,,
Llacuna,L4,,,,,,,
Bogatell,L4,,,,,,,
Ciutadella | Vila Olímpica,L4,,,,,Ciutadella - Vila Olímpica,T4,
Barceloneta,L4,Estació de França,R2SR13R14R15R16LD,,,,,
Jaume I,L4,,,,,,,
Girona,L4,,,,,,,
Verdaguer,L4L5,,,,,,,
Joanic,L4,,,,,,,
Alfons X,L4,,,,,,,
Guinardó | Hospital de Sant Pau,L4,,,,,,,
Maragall,L4L5,,,,,,,
Llucmajor,L4,,,,,,,
Via Júlia,L4,,,,,,,
Cornellà Centre,L5,Cornellà Centre,R1R4,,,Cornellà Centre,T1T2,
Gavarra,L5,,,,,,,
Sant Ildefons,L5,,,,,,,
Can Boixeres,L5,,,,,,,
Can Vidalet,L5,,,,,,,
Pubilla Cases,L5,,,,,,,
Collblanc,L5L9SL10S,,,,,,,
Badal,L5,,,,,,,
Entença,L5,,,,,,,
Hospital Clínic,L5,,,,,,,
Sant Pau | Dos de Maig,L5,,,,,,,
Camp de l'Arpa,L5,,,,,,,
Congrés,L5,,,,,,,
Virrei Amat,L5,,,,,,,
Vilapicina,L5,,,,,,,
Horta,L5,,,,,,,
El Carmel,L5,,,,,,,
El Coll | La Teixonera,L5,,,,,,,
Ernest Lluch,L5,,,,,,,
Aeroport T1,L9S,,,,,,,
Aeroport T2,L9S,Aeroport,R2N,,,,,
Mas Blau,L9S,,,,,,,
Parc Nou,L9S,,,,,,,
Cèntric,L9S,,,,,,,
El Prat Estació,L9S,,,,,,,
Les Moreres,L9S,,,,,,,
Mercabarna,L9S,,,,,,,
Parc Logístic,L9S,,,,,,,
Fira,L9S,,,,,,,
Europa | Fira,L9S,,,Europa | Fira,L8S3S4S8S9R5R50R6R60,,,
Can Tries | Gornal,L9SL10S,,,,,,,
Onze de Setembre,L9NL10N,,,,,,,
Bon Pastor,L9NL10N,,,,,,,
Llefià,L10N,,,,,,,
La Salut,L10N,,,,,,,
Can Peixauet,L9N,,,,,,,
Santa Rosa,L9N,,,,,,,
Església Major,L9N,,,,,,,
Singuerlín,L9N,,,,,,,
Can Zam,L9N,,,,,,,
ZAL | Riu Vell,L10S,,,,,,,
Ecoparc,L10S,,,,,,,
Port Comercial | La Factoria,L10S,,,,,,,
Zona Franca,L10S,,,,,,,
Foc,L10S,,,,,,,
Foneria,L10S,,,,,,,
Ciutat de la Justícia,L10S,,,Ildefons Cerdà,L8S3S4S8S9R5R50R6R60,,,
Provençana,L10S,,,,,,,
Casa de l'Aigua,L11,,,,,,,
Torre Baró | Vallbona,L11,Torre Baró,R3R4R7,,,,,
Ciutat Meridiana,L11,,,,,,,
Can Cuiàs,L11,,,,,,,
Parc de Montjuïc,FM,,,,,,,
,,Aguilar de Segarra,RL4,,,,,
,,Alcover,R14,,,,,
,,L'Aldea - Amposta,R16LD,,,,,
,,Altafulla-Tamarit,R14R15R16,,,,,
,,L'Ametlla de Mar,R16,,,,,
,,L'Ampolla - el Perelló - Deltebre,R16,,,,,
,,Anglesola,RL3RL4,,,,,
,,L'Arboç,R4,,,,,
,,Arenys de Mar,R1,,,,,
,,Ascó,R15,,,,,
,,Badalona,R1,,,,,
,,Balenyà - els Hostalets,R3,,,,,
,,Balenyà-Tona-Seva,R3,,,,,
,,Barberà del Vallès,R4,,,,,
,,Bell-lloc d'Urgell,RL3RL4,,,,,
,,Bellpuig,RL3RL4,,,,,
,,Bellvitge,R2R2NR2SR15,Gornal,L8S3S4S8S9R5R50R6R60,,,
,,Blanes,R1,,,,,
,,Bordils-Juià,R11,,,,,
,,Les Borges Blanques,R13R14,,,,,
,,Les Borges del Camp,R15,,,,,
,,Borgonyà,R3,,,,,
,,Cabrera de Mar - Vilassar de Mar,R1,,,,,
,,Calaf,RL4,,,,,
,,Calafell,R2SR13R14,,,,,
,,Caldes d'Estrac,R1,,,,,
,,Caldes de Malavella,R11LD,,,,,
,,Calella,R1,,,,,
,,Camallera,R11,,,,,
,,Camarles-Deltebre,R16,,,,,
,,Cambrils,R16LD,,,,,
,,Campdevànol,R3,,,,,
,,Camp de Tarragona,LD,,,,,
,,Camp-redó,R16,,,,,
,,Canet de Mar,R1,,,,,
,,Capçanes,R15,,,,,
,,Cardedeu,R2N,,,,,
,,Castellbell i el Vilar - Monistrol de Montserrat,R4,,,,,
,,Castellbisbal,R4R8,,,,,
,,Castelldefels,R2R2SR13R14,,,,,
,,Castellnou de Seana,RL3RL4,,,,,
,,Centelles,R3,,,,,
,,Celrà,R11,,,,,
,,Cerdanyola del Vallès,R4R7,,,,,
,,Cerdanyola Universitat,R7R8,,,,,
,,Cervera,RL3RL4,,,,,
,,Cervera de la Marenda,R11LD,,,,,
,,Colera,R11,,,,,
,,Cubelles,R2SR13R14,,,,,
,,Cunit,R2SR13R14,,,,,
,,Duesaigües - l'Argentera,R15,,,,,
,,L'Espluga de Francolí,R13R14,,,,,
,,La Farga de Bebié,R3,,,,,
,,Figaró,R3,,,,,
,,Figueres,R11LD,,,,,
,,Figueres-Vilafant,LD,,,,,
,,Flaçà,R11LD,,,,,
,,Flix,R15LD,,,,,
,,La Floresta,R13R14,,,,,
,,Fornells de la Selva,R11,,,,,
,,Les Franqueses del Vallès,R3,,,,,
,,Les Franqueses - Granollers Nord,R2N,,,,,
,,Garraf,R2S,,,,,
,,La Garriga,R3,,,,,
,,Gavà,R2R2SR13R14,,,,,
,,Gelida,R4,,,,,
,,Girona,R11LD,,,,,
,,Golmés,RL3RL4,,,,,
,,La Granada,R4,,,,,
,,Granollers-Canovelles,R3,,,,,
,,Granollers Centre,R2R2NR8R11LD,,,,,
,,Gualba,R2NR11,,,,,
,,Els Guiamets,R15,,,,,
,,L'Hospitalet de l'Infant,R16,,,,,
,,Hostalric,R2NR11,,,,,
,,Juneda,R13R14,,,,,
,,Lavern-Subirats,R4,,,,,
,,La Llagosta,R2R2N,,,,,
,,Llançà,R11,,,,,
,,Lleida-Pirineus,RL3RL4R13R14,,,,,
,,Llinars del Vallès,R2N,,,,,
,,Maçanet-Massanes,R1R2NR11,,,,,
,,Malgrat de Mar,R1,,,,,
,,Manlleu,R3,,,,,
,,Manresa,R4RL4,,,,,
,,Marçà-Falset,R15,,,,,
,,Martorell,R4R8,Martorell-Central,S4S8R5R6R50R60,,,
,,El Masnou,R1,,,,,
,,Mataró,R1,,,,,
,,La Molina,R3,,,,,
,,Molins de Rei,R1R4,,,,,
,,Mollerussa,RL3RL4,,,,,
,,Mollet - Sant Fost,R2R2NR8,,,,,
,,Mollet - Santa Rosa,R3,,,,,
,,Els Monjos,R4,,,,,
,,Montblanc,R13R14,,,,,
,,Montcada Bifurcació,R3R4R7,,,,,
,,Montcada i Reixac,R2R2N,,,,,
,,Montcada i Reixac - Manresa,R4R7,,,,,
,,Montcada i Reixac - Santa Maria,R4R7,,,,,
,,Montcada-Ripollet,R3,,,,,
,,Montgat,R1,,,,,
,,Montgat Nord,R1,,,,,
