stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding                                                                                               
71600,Sant Vicenç De Calders,41.1862102,1.52480358,2                                                                                                  
71601,Calafell,41.1896703,1.57500937,2                                                                                                                
71602,Segur De Calafell,41.1925787,1.60643599,2                                                                                                       
71603,Cunit,41.1950415,1.63194242,2                                                                                                                   
71604,Cubelles,41.2043246,1.67597720,2                                                                                                                
71700,Vilanova I La Geltrú,41.2203207,1.73077249,2                                                                                                    
71701,Sitges,41.2391315,1.80969184,2                                                                                                                  
71703,Garraf (apt),41.2545875,1.90250383,2                                                                                                            
71704,Platja De Castelldefels,41.2669823,1.95713579,2                                                                                                 
71705,Castelldefels,41.2790474,1.97915126,2                                                                                                           
71706,Gavà,41.3034722,2.01053111,2                                                                                                                    
71707,El Prat De Llobregat,41.3309401,2.08934473,2                                                                                                    
71708,Bellvitge I Gornal,41.3549216,2.11527330,2                                                                                                      
71709,Viladecans,41.3095086,2.02741857,2                                                                                                              
71801,Barcelona-Sants,41.3798632,2.14101688,1                                                                                                         
71802,Barcelona-Passeig De Gracia,41.3920862,2.16533862,2                                                                                             
72201,El Vendrell,41.2210057,1.53790552,2                                                                                                             
72202,L'arboc,41.2734041,1.60051857,2                                                                                                                 
72203,Els Monjos,41.3147135,1.65988402,2                                                                                                              
72204,Vilafranca Del Penedes,41.3448139,1.70320131,2                                                                                                  
72205,La Granada,41.3709497,1.72507893,2                                                                                                              
72206,Lavern-Subirats (apd),41.3957338,1.76817358,2                                                                                                   
72207,Sant Sadurni D'anoia,41.4205181,1.79468769,2                                                                                                    
72208,Gelida (apd),41.4485405,1.86552988,2                                                                                                            
72209,Martorell Central,41.4792866,1.92533467,2                                                                                                       
72210,Castellbisbal,41.4734152,1.96756971,2                                                                                                           
72211,El Papiol (apd),41.4353713,2.00257792,2                                                                                                         
72300,Molins De Rei,41.4098958,2.02077275,2                                                                                                           
72301,Sant Feliu De Llobregat,41.3830018,2.04791970,2                                                                                                 
72302,Sant Joan Despi (apd),41.3685805,2.06020835,2                                                                                                   
72303,Cornella,41.3575214,2.07054907,2                                                                                                                
72305,L'hospitalet De Llobregat,41.3642038,2.10091749,2                                                                                               
72400,El Prat Aeroport,41.3041813,2.07340133,2                                                                                                        
