Name,Latitude,Longitude,OutboundCode,ReturnCode,GtfsCode,Connections
Francesc Macià,41.3922,2.143175,1001,1101,FRMC,
L'Illa,41.39056,2.136497,1002,1102,ILLA,
Numància,41.38934,2.131953,1003,1103,NMNC,
Maria Cristina,41.38797,2.126508,1004,1104,MRCR,15
Pius XII,41.38672,2.121603,1005,1105,PIUS,
Palau Reial,41.38592,2.118461,1008,1108,PLRL,16
Zona Universitària,41.38427,2.114436,1009,1109,UNIV,21
Avinguda de Xile,41.38074,2.114836,1010,1110,XILE,
Ernest Lluch,41.37648,2.110786,1011,1111,LLUC,17
Can Rigal,41.37612,2.105928,1012,1112,SRMN,
Ca n'Oliveres,41.37661,2.098408,1013,1113,OLIV,
Can Clota,41.37696,2.093522,1213,1313,CLOT,
Pont d'Esplugues,41.37683,2.088606,1014,1114,PTSP,
La Sardana,41.37279,2.084003,1015,1115,SRDN,
Montesa,41.36956,2.080928,1016,1116,MNTS,
El Pedró,41.36532,2.076675,1017,1117,PDRO,
Ignasi Iglésias,41.36124,2.072672,1018,1118,IIGL,
Cornellà Centre,41.35744,2.069917,1019,1119,CNLL,"3,2,18"
Les Aigües,41.35667,2.066069,1020,1120,AIGU,
Fontsanta | Fatjó,41.36034,2.062222,1021,1121,FTJO,
Bon Viatge,41.36461,2.058817,1022,1122,BVIA,4
Centre Miquel Martí i Pol,41.36866,2.071197,1026,1126,CTMP,
La Fontsanta,41.36779,2.062953,1025,1125,FSTA,"19,18"
Llevant - Les planes,41.37087,2.076117,1127,1127,BDOR,
Hospital Sant Joan Despí | TV3,41.37239,2.075678,1028,1128,HTV3,
Rambla de Sant Just,41.37883,2.07505,1029,1129,RBSJ,
Walden,41.37972,2.066897,1030,1130,WLDN,
Torreblanca,41.37976,2.060825,1031,1131,TRBL,
Sant Feliu | Consell Comarcal,41.37936,2.053372,1032,1132,CCML,
Ciutadella | Vila Olímpica,41.38762,2.191917,2020,2120,CTDL,8
Wellington,41.39017,2.188483,2021,2121,WLTN,
Marina,41.39406,2.186917,2022,2122,MRNA,9
Auditori | Teatre Nacional,41.39754,2.186892,2002,2102,ATTR,
Glòries,41.40168,2.186897,2003,2103,GLRS,10
Ca l'Aranyó,41.40445,2.1915,2004,2104,ARNY,
Pere IV,41.40614,2.198247,2005,2105,PRIV,
Fluvià,41.40782,2.204908,2006,2106,FVIA,
Selva de Mar,41.40919,2.210447,2007,2107,SLVA,7
El Maresme,41.41049,2.215631,2008,2108,DGMR,6
Fòrum,41.41183,2.21985,2009,2109,FRUM,6
Campus Diagonal - Besòs,41.41525,2.222928,2010,2110,CDBE,
Port Fòrum,41.41887,2.226161,2029,2129,PORT,26
Estació de Sant Adrià,41.42395,2.23055,2030,2130,SABS,5
Can Jaumandreu,41.40811,2.193597,2023,2123,JAUM,
Espronceda,41.41136,2.197942,2024,2124,ESPR,
Sant Martí de Provençals,41.41647,2.204744,2025,2125,STMR,
Besòs,41.42007,2.209556,2026,2126,BSOS,11
Alfons el Magnànim,41.41719,2.213569,2027,2127,ALFS,
Parc del Besòs,41.41943,2.217633,2028,2128,PARC,
La Catalana,41.42265,2.221953,2013,2113,CTLN,
Sant Joan Baptista,41.42739,2.225403,2014,2114,STJB,
Encants de Sant Adrià,41.43024,2.222606,2016,2116,NKNS,
Sant Roc,41.43494,2.227597,2017,2117,STRC,14
Gorg,41.43997,2.233219,2019,2119,GORG,"12,13"
La Mina,41.41838,2.221,2111,2011,MINA,
Verdaguer,41.39843,2.167427,2034,2134,VGUE,
Sicília,41.40015,2.174294,2033,2133,SCIL,
Monumental,41.401897,2.181167,2032,2132,MNUM,
